City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
294,Lavrentiya,RU,2020-08-21 21:01:41,65.58,-171.0,47.89,93,100,7.27
295,Kudahuvadhoo,MV,2020-08-21 21:01:42,2.67,72.89,83.1,65,88,2.77
296,Tuatapere,NZ,2020-08-21 21:01:42,-46.13,167.68,50.0,97,31,4.0
297,Yinchuan,CN,2020-08-21 21:01:42,38.47,106.27,70.66,65,31,6.64
298,Gvarv,NO,2020-08-21 21:01:42,59.39,9.17,63.0,1,51,7.11
299,Tagudin,PH,2020-08-21 21:01:43,16.94,120.44,78.12,78,88,4.12
300,Cururupu,BR,2020-08-21 21:01:43,-1.83,-44.87,78.98,79,5,4.83
301,Clyde River,CA,2020-08-21 21:01:43,70.47,-68.59,44.42,81,100,1.7
302,Ornskoldsvik,SE,2020-08-21 21:01:43,63.29,18.72,64.4,88,88,10.29
303,Kysyl-Syr,RU,2020-08-21 21:01:44,63.9,122.76,39.72,79,0,5.14
